sexage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18
"1:(15,25]",113,225,279,450,407,377,376,360,210,93,37,36,24,15,6,5
"1:(25,35]",54,160,271,279,224,145,121,133,84,22,47,34,8,2,0,5
"1:(35,45]",33,48,117,149,155,179,96,104,41,14,21,12,1,1,0,9
"1:(45,55]",10,51,65,93,109,112,77,60,21,9,13,4,3,1,0,0
"1:(5,15]",10,156,300,464,591,659,433,455,264,109,135,113,45,15,10,14
"1:(55,65]",11,12,29,55,45,61,35,28,19,13,5,1,5,4,1,0
"1:(65,Inf]",15,17,45,39,29,10,15,18,9,6,13,0,0,1,0,0
"1:[0,5]",20,136,188,300,237,282,160,222,135,48,54,41,20,8,2,20
"2:(15,25]",90,188,306,428,400,505,418,315,181,69,116,72,30,4,3,7
"2:(25,35]",51,122,179,216,221,170,138,139,73,34,21,18,26,5,3,1
"2:(35,45]",9,66,96,133,181,119,70,76,47,24,21,9,15,0,1,2
"2:(45,55]",13,38,98,87,88,128,89,67,22,31,15,28,8,0,0,5
"2:(5,15]",11,107,376,528,688,686,457,410,284,141,85,72,24,8,2,17
"2:(55,65]",11,31,63,66,50,23,36,42,34,12,8,1,0,2,1,0
"2:(65,Inf]",28,29,15,25,18,17,29,21,16,12,10,1,0,1,0,0
"2:[0,5]",4,94,243,328,292,307,236,206,81,83,26,50,12,3,1,5
